C10483059	穿越之姻缘劫	穿越之姻缘劫:姻缘劫-只因命格星君那老糊涂写错了一笔，让本该出生在古代的你出生在了现代，现在那个老糊涂发现了这个错误，为了不被上头追究责任，就将你传送回古代，不过那老头说会补偿你一段姻缘，但如何把握，就要看你自己咯！	C10483067:十年清风,C10486137:偷心冷医仙,C10483165:北方有佳人,C10482953:好色千金,C10483161:一夜成名,C10529074:三妻四妾,C10463288:男神日记,C10458536:纯情女仆坏少爷,C10316782:宫廷Q传,C10362787:金秀贤明星学院,C10076817:植物大战僵尸2…,C10259988:多玩我的世界盒…,C10113531:保卫萝卜2,C10329573:部落冲突,C10164365:海岛奇兵,C10167041:乱斗西游2,C10206553:坦克前线：帝国…,C10119037:3D坦克争霸,C10182781:战舰帝国,C10136202:保卫萝卜,
C10455387	儿童字母涂涂乐	神秘的地下王国:别看小小的蚂蚁，他们可是一个超级大家族，住了很多居民。他们有组织有纪律，还有严格的分工和任务，让我们一起来参观神秘的蚂蚁王国吧......  宝宝们每天都有不同的为什么:我为什么不会飞?为什么要做梦?爸爸为什么不会生小孩?我为什么要放屁?问题多到爸爸妈妈们应接不暇。铁皮人创作团队结合宝宝在日常生活中遇到的问题 , 推出这套《小小科学家》绘本。把故	C10499649:交通工具儿童涂…,C10294504:3D涂涂识字A,C10482777:小动物儿童涂涂…,C10148192:儿童涂涂乐游戏,C10148187:儿童拼拼乐游戏,C10148211:儿童汉字学认写,C10404962:儿童涂鸦画画,C10505186:儿童游戏-宝宝…,C10253468:儿童游戏学字母,C10446064:儿童宝宝欢乐游…,C10134672:开心消消乐,C10147130:PopStar！消灭…,C10026769:水果忍者,C10166495:捕鱼达人3,C10285643:球球大作战,C10162014:消灭星星2015,C10236974:饥饿鲨：进化,C10189589:宾果消消乐（原…,C10145675:泡泡龙亚特兰蒂…,C10148546:别踩白块儿,
C10296069	湖北农信	湖北农信:您只需将手机号码与湖北省农村信用社个人结算账户绑定，即可安全、高效、经济、便捷地享用湖北省农村信用社7×24小时的贴身金融服务。     账户管理：查询账户余额、交易明细、账户挂失、下挂账户等。     转账汇款：行内、跨行转账0费用实时到账；转账交易结果即时查询。     手机号转账：输入收款方手机号即可完成我行手机银行用户间转账 。<b	C10104851:10000社区,C10268146:长江e号,C10156056:涨乐财富通,C10092701:中国建设银行,C10092669:浦发手机银行,C10243018:中国工商银行,C168951:车轮查违章全国…,C10092751:中国银行,C10428146:民生银行手机银…,C23395:全国违章查询,C10060708:华为支付,C5373:支付宝,C10217244:华为钱包,C2861:同花顺炒股,C10092701:中国建设银行,C10366337:翼支付,C3400:随手记,C10148748:大智慧,C10243018:中国工商银行,C10158625:钱包,
C10493229	僵尸前线4	“Google Play全球推荐热门射击游戏来啦！！”《僵尸前线4》是Zombie frontier系列最新一代作品，拥有逼真3D画面和丰富的游戏元素，给玩家非常紧张真实的游戏体验。游戏由谷歌”Top Developer”FTgames研发，前代作品在全球范围内累计下载过亿。 【最刺激的僵尸射击游戏】 你将体会到一个全新的僵尸射击游戏，在移动平台	C10317407:僵尸杀手,C10497352:孤胆枪手之杀出…,C10406051:僵尸战争2,C10299752:3D生化危机-行…,C10156164:僵尸前线3D,C10229381:CF暴击僵尸20…,C10372488:致命枪杀Kill …,C10259665:杀手之狙击之神,C10426876:反恐女神,C10422621:死亡扳机2,C10075868:地铁跑酷,C10059250:神庙逃亡2,C10175362:全民枪战,C10124645:神偷奶爸：小黄…,C191016:时空猎人,C10192426:熊出没之熊大快…,C10137599:滑雪大冒险,C10139539:果宝三国,C10271994:火柴人联盟,C10108129:爸爸去哪儿官方…,
C57236	今日头条	今天，看今日头条 今日头条，超过 4 亿用户选择的新闻资讯 App ！ 单用户每日使用时长超过60分钟 每天社交平台分享量达550万次 颠覆传统阅读——人“搜索”资讯的模式，运用大数据算法，精准推荐你感兴趣的内容，从此不受冗杂信息困扰，畅游个性化信息海洋，让你的阅读更加有用高效。   【海量内容源】 聚合超过5000	C10295678:快报,C2022:搜狐新闻,C9147:网易新闻,C104688:腾讯新闻,C31975:墨迹天气,C10148748:大智慧,C20960:搜狐视频,C40238:内涵段子,C3382:百度地图,C22852:暴风影音,C57236:今日头条,C2022:搜狐新闻,C9147:网易新闻,C104688:腾讯新闻,C179773:爱读掌阅,C149006:塔读文学,C28837:ZAKER,C86189:爱动漫,C2034:天翼阅读,C10084466:咪咕阅读,
C3466	酷狗音乐	随手电筒:超亮的手电筒、兼容性超好的手电筒、安全不作恶的手电筒（不偷流量、不盗隐私、不耗内存）。用户数过2亿的手电筒，特色功能：运动计步器、锁屏界面秒开、来电闪光、夜晚护眼技术、通知栏快捷开关、二维码扫描、黑夜防狼安防、快捷换肤、演唱会KTV炫彩灯、精美超清皮肤。 ★荣登《互联网周刊》2016年度中国实用小工具APP排行榜第8名★  【核心功能】<b	C21976:UC浏览器,C9136:唯品会,C5206:美团团购,C29156:腾讯视频,C5373:支付宝,C32569:优酷,C10134672:开心消消乐,C10220136:QQ音乐,C2002:爱奇艺,C34075:手机淘宝,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C20960:搜狐视频,C29156:腾讯视频,C290:酷我音乐,C10220136:QQ音乐,C2068:多米音乐,C10162466:爱看4G视频,
C10055832	华为文件管理	【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持	C10132067:华为帐号,C10067631:华为手机服务,C10060708:华为支付,C10200687:视频,C66323:华为备份,C10168550:亲情关怀,C10207207:华为云服务,C40066:文件管理器,C10021449:音乐,C10360236:视频,C36902:WiFi万能钥匙,C27162:华为应用市场,C10055832:华为文件管理,C66323:华为备份,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C121553	WPS Office	神秘的地下王国:别看小小的蚂蚁，他们可是一个超级大家族，住了很多居民。他们有组织有纪律，还有严格的分工和任务，让我们一起来参观神秘的蚂蚁王国吧......  宝宝们每天都有不同的为什么:我为什么不会飞?为什么要做梦?爸爸为什么不会生小孩?我为什么要放屁?问题多到爸爸妈妈们应接不暇。铁皮人创作团队结合宝宝在日常生活中遇到的问题 , 推出这套《小小科学家》绘本。把故	C7127592:Microsoft Wo…,C7127453:Microsoft Ex…,C37127:PDF阅读器 …,C112044:超级课程表,C66323:华为备份,C10113430:CAD快速看图,C6468:金山词霸,C381:网易有道词典,C10166330:网易邮箱大师,C10405418:QQ邮箱,C121553:WPS Office,C381:网易有道词典,C174391:百度云,C5458:驾考宝典,C10113015:作业帮,C6468:金山词霸,C10068705:扫描全能王,C10191382:小猿搜题,C10082485:名片全能王,C10208807:驾校一点通,
C20679	QQ浏览器	海尔定制致力于为消费者提供最有创意的产品及最愉悦的购物体验，全面满足消费者购物需求，并且，平台通过独有的众创模式，努力满足消费者对产品的期望。另外，众创汇商城还为消费者提供在线交流的社区平台和用户关怀等一系列增值服务。	C10035716:搜狗浏览器,C10150873:猎豹浏览器,C43397:百度浏览器,C10397414:QQ空间,C10115951:掌上英雄联盟,C2510:QQ阅读,C7254133:腾讯手机管家（…,C57236:今日头条,C2682:搜狗输入法,C21976:UC浏览器,C36902:WiFi万能钥匙,C27162:华为应用市场,C10055832:华为文件管理,C66323:华为备份,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,
C3382	百度地图	5亿人都在用的百度地图 【功能介绍】 最全最准手机地图，专业智能语音导航。 探索周边美食娱乐。在线订机票、酒店更享多重优惠。 明星趣味语音导航，躲避拥堵路线规划，实时公交多城市覆盖 海量地点信息，及时更新，查哪儿都知道 优步、专车、顺风车随叫随到 更有离线地图，节省流量。收藏夹可以同步云端，实现电脑、手机、Pad三端	C60394:地图,C2212:腾讯地图,C10099655:铁路12306,C5206:美团团购,C3403:高德导航,C20911:高德地图,C2543:QQ同步助手,C2861:同花顺炒股,C57236:今日头条,C121553:WPS Office,C3382:百度地图,C20911:高德地图,C5157:携程旅行,C262:去哪儿旅行,C10047107:滴滴出行,C5745:天翼导航,C3403:高德导航,C10239309:优步 - Uber,C39196:艺龙旅行,C10043914:和地图,
